Rating,Comments,Start Date
2,No,12/5/2024 0:00
4,Everything was great!,11/27/2024 0:00
4,N/A,11/27/2024 0:00
3,No,11/27/2024 0:00
3,"Nice, huge dorms but showroom smelt like mold",11/26/2024 0:00
4,No,11/26/2024 0:00
4,Nope,11/26/2024 0:00
0,Very dirty,11/26/2024 0:00
4,Liked the statues,11/23/2024 0:00
4,Very modern and up-to-date. Very impressed,11/23/2024 0:00
4,I really liked the residence hall but hoped to view a current students room,11/16/2024 0:00
3,"It felt like it wasn't on college ground which was cool, lots of nature. The animal policy makes me sad but I get it.",11/16/2024 0:00
2,Musty smell,11/16/2024 0:00
4,No,11/16/2024 0:00
4,No but give the tour guides a RAISE honey,11/16/2024 0:00
4,Your entire campus is awesome,11/16/2024 0:00
2,Just exterior,11/15/2024 0:00
4,N/A,11/15/2024 0:00
3.5,No,11/14/2024 0:00
4,"If there was a way to also see an example of the dorms with the shared bathrooms. Also a tour of other useful rooms like the laundry room, shared kitchen space, etc.",11/11/2024 0:00
4,"I liked the storage under the beds, and I liked the addition of the small kitchen.",11/10/2024 0:00
4,N/A,11/9/2024 0:00
4,No,11/9/2024 0:00
3,Nope.,11/9/2024 0:00
3,They were typical fresh res halls,11/9/2024 0:00
4,No,11/8/2024 0:00
4,No,11/7/2024 0:00
4,Sheâ€™s a great tour guide,11/3/2024 0:00
4,I have none i sadly canâ€™t remember my tour guides name but she was so nice and helpful when answering and giving information.,11/2/2024 0:00
3,Only two beds- told would be three. Would have liked to see how three would fit.,11/2/2024 0:00
1,"Compared to other schools we toured, itâ€™s kind of old. The cement wall makes it feel kind of cold. Three to a room is also an odd number.",10/26/2024 0:00
4,I wish I had gotten some of the free swag I didnâ€™t know it was for us to take while we were there and I wish I had gotten the license plate frame,10/23/2024 0:00
4,No,10/22/2024 0:00
4,"Nope,  it looked really cool",10/17/2024 0:00
4,10/10 experience,10/15/2024 0:00
3,Hopefully no one has to actually sleep three to those small rooms.,10/15/2024 0:00
4,It looks very nice but a little small for 3 people.,10/15/2024 0:00
4,N/A,10/15/2024 0:00
4,Nope,10/15/2024 0:00
3,"Smaller rooms, a bit compact.",10/15/2024 0:00
